ds,yhat,yhat_lower,yhat_upper
2025-10-31,2.882922654687088,1.0112701616340016,4.821501670293603
2025-11-01,2.825533469212279,1.0535181772541855,4.674357988322829
2025-11-02,2.716787701342048,0.7238784019538562,4.579234692385488
2025-11-03,4.1985170311620585,2.2267879503995727,6.130330952366325
2025-11-04,2.712506563737057,0.8249573133465895,4.610703915429297
2025-11-05,2.689576360954106,0.7896701813331352,4.713760792684557
2025-11-06,3.6763897638418697,1.8496654321083374,5.790945879871331
2025-11-07,2.879592698670054,0.8676240023938486,4.85809944701927
2025-11-08,2.8222035131970755,0.878711572129003,4.680925581623639
2025-11-09,2.7134577453272968,0.8088313163743098,4.7353262115371155
2025-11-10,4.195187075143862,2.2596396671560006,6.077647901198059
2025-11-11,2.7091766077183412,0.8445727481754014,4.564240884872577
2025-11-12,2.686246404932346,0.824730664691738,4.58569258771726
2025-11-13,3.6730598078249,1.7860830091609996,5.568047032633474
2025-11-14,2.8762627426552196,0.8848320248184744,4.760624784802283
2025-11-15,2.8188735571814356,1.030631875883807,4.708396675200487
2025-11-16,2.710127789312547,0.9274931866875105,4.63958139119241
2025-11-17,4.191857119129323,2.2940574372394673,6.162129231462229
2025-11-18,2.7058466517024327,0.7267020175981561,4.510245143631994
2025-11-19,2.6829164489195114,0.6629853417999747,4.4591813238472815
2025-11-20,3.6697298518102257,1.697389911273324,5.798692051490076
2025-11-21,2.872932786635986,0.9831452505028772,4.870779719042121
2025-11-22,2.8155436011657944,1.0102321413819522,4.687053185869856
2025-11-23,2.706797833297308,0.8267936787142723,4.731606119174979
2025-11-24,4.188527163113915,2.319025369365447,6.002869136783622
2025-11-25,2.702516695683717,0.7579105720042711,4.5144246878457
2025-11-26,2.6795864929034465,0.7367118209372212,4.550403873293247
2025-11-27,3.6663998957955517,1.6293813336775724,5.49841393633507
2025-11-28,2.869602830621152,1.0651807376373383,4.7958510830958625
2025-11-29,2.8122136451505924,0.9442482287227828,4.68745516650627
